tag,utterance
COMMAND:ACTION,Be careful with that vase
COMMAND:ACTION,Be quiet
COMMAND:ACTION,Be sure to double-check your work before submitting
COMMAND:ACTION,Be sure to wear sunscreen on a sunny day
COMMAND:ACTION,Be sure to wear sunscreen when you're outside
COMMAND:ACTION,Boil some water
COMMAND:ACTION,Bring me a glass of water
COMMAND:ACTION,Brush your teeth
COMMAND:ACTION,Call John
COMMAND:ACTION,Call me back
COMMAND:ACTION,Call mom
COMMAND:ACTION,Change the oil
COMMAND:ACTION,Check the mail
COMMAND:ACTION,Clean the room
COMMAND:ACTION,Close the window
COMMAND:ACTION,Cook breakfast
COMMAND:ACTION,Cook dinner
COMMAND:ACTION,Dance to the music
COMMAND:ACTION,Do some yoga
COMMAND:ACTION,Do your homework
COMMAND:ACTION,Don't be late for the meeting
COMMAND:ACTION,Don't forget to bring your ID to the airport
COMMAND:ACTION,Don't forget to bring your passport to the airport
COMMAND:ACTION,Don't forget to lock the door
COMMAND:ACTION,Don't forget to lock the door when you leave
COMMAND:ACTION,Don't forget to set your alarm
COMMAND:ACTION,Don't forget to set your alarm for tomorrow morning
COMMAND:ACTION,Don't forget to take your medication
COMMAND:ACTION,Don't forget to turn off the oven when you're done
COMMAND:ACTION,Don't forget to turn off the stove before leaving
COMMAND:ACTION,Don't forget to turn off the stove before you leave
COMMAND:ACTION,Don't forget your keys
COMMAND:ACTION,Draw a picture
COMMAND:ACTION,Drive safely
COMMAND:ACTION,Drive to the store
COMMAND:ACTION,Eat your dinner
COMMAND:ACTION,Exercise
COMMAND:ACTION,Feed the cat
COMMAND:ACTION,Fill up the gas tank
COMMAND:ACTION,Fix the leaky faucet
COMMAND:ACTION,Get a haircut
COMMAND:ACTION,Go to bed
COMMAND:ACTION,Go to the gym
COMMAND:ACTION,Hand me the screwdriver, please
COMMAND:ACTION,Iron the clothes
COMMAND:ACTION,Leave the room
COMMAND:ACTION,Leave the room immediately
COMMAND:ACTION,Lock the door
COMMAND:ACTION,Make a left turn
COMMAND:ACTION,Make the bed
COMMAND:ACTION,Meditate
COMMAND:ACTION,Mow the lawn
COMMAND:ACTION,Open the door
COMMAND:ACTION,Open the pod bay doors
COMMAND:ACTION,Order pizza
COMMAND:ACTION,Pay attention to the road while driving
COMMAND:ACTION,Pay the bills
COMMAND:ACTION,Pick up the kids
COMMAND:ACTION,Play some music
COMMAND:ACTION,Please be quiet in the library
COMMAND:ACTION,Please clean up after yourself
COMMAND:ACTION,Please close the window
COMMAND:ACTION,Please do not smoke in the building
COMMAND:ACTION,Please keep the noise level down in the library
COMMAND:ACTION,Please make sure to lock the door when you leave
COMMAND:ACTION,Please put your phone on silent during the movie
COMMAND:ACTION,Please take a seat
COMMAND:ACTION,Please take off your shoes
COMMAND:ACTION,Please take your shoes off before entering the house
COMMAND:ACTION,Please turn down the music
COMMAND:ACTION,Please turn down the volume
COMMAND:ACTION,Please turn off the lights
COMMAND:ACTION,Please turn off your cell phone
COMMAND:ACTION,Please turn off your cell phone during the movie
COMMAND:ACTION,Polish the furniture
COMMAND:ACTION,Put away your toys
COMMAND:ACTION,Put on some clothes
COMMAND:ACTION,Put your phone away
COMMAND:ACTION,Put your phone on silent
COMMAND:ACTION,Read a book
COMMAND:ACTION,Say a prayer
COMMAND:ACTION,Send a text message
COMMAND:ACTION,Send an email
COMMAND:ACTION,Set a timer for 10 minutes
COMMAND:ACTION,Set an alarm for 7am
COMMAND:ACTION,Set the table
COMMAND:ACTION,Show me your ID
COMMAND:ACTION,Sing a song
COMMAND:ACTION,Stay focused on your goals
COMMAND:ACTION,Stay here
COMMAND:ACTION,Stay safe
COMMAND:ACTION,Stay safe and stay hydrated in the heat
COMMAND:ACTION,Study for the exam
COMMAND:ACTION,Sweep the floor
COMMAND:ACTION,Take a break and stretch your legs
COMMAND:ACTION,Take a deep breath
COMMAND:ACTION,Take a deep breath and relax
COMMAND:ACTION,Take a picture
COMMAND:ACTION,Take a shower
COMMAND:ACTION,Take a walk
COMMAND:ACTION,Take out the trash
COMMAND:ACTION,Turn down the music
COMMAND:ACTION,Turn off the TV
COMMAND:ACTION,Turn off the lights
COMMAND:ACTION,Turn off the lights when you leave
COMMAND:ACTION,Turn on the light
COMMAND:ACTION,Turn up the volume
COMMAND:ACTION,Unlock the car
COMMAND:ACTION,Vacuum the carpet
COMMAND:ACTION,Wait for me outside
COMMAND:ACTION,Wake up early
COMMAND:ACTION,Walk the dog
COMMAND:ACTION,Wash the dishes
COMMAND:ACTION,Watch a movie
COMMAND:ACTION,Water the plants
COMMAND:ACTION,Write a letter
COMMAND:ACTION,give examples of animals
COMMAND:ACTION,tell me about evil
COMMAND:DENIAL,Do not drink and drive
COMMAND:DENIAL,Do not enter the construction zone
COMMAND:DENIAL,Do not enter this area
COMMAND:DENIAL,Do not enter this area without permission
COMMAND:DENIAL,Do not enter this area, it's dangerous
COMMAND:DENIAL,Do not enter without permission
COMMAND:DENIAL,Do not exceed the speed limit on this road
COMMAND:DENIAL,Do not feed the animals at the zoo
COMMAND:DENIAL,Do not feed the wild animals
COMMAND:DENIAL,Do not leave your luggage unattended
COMMAND:DENIAL,Do not open the emergency exit
COMMAND:DENIAL,Do not smoke in the building
COMMAND:DENIAL,Do not smoke in this area
COMMAND:DENIAL,Do not touch that button
COMMAND:DENIAL,Do not touch the art
COMMAND:DENIAL,Do not touch the art pieces in the gallery
COMMAND:DENIAL,Do not touch the artwork
COMMAND:DENIAL,Do not touch the electric fence
COMMAND:DENIAL,Do not touch the exhibits in the museum
COMMAND:DENIAL,Do not touch the paintings
COMMAND:DENIAL,Do not touch the thermostat
COMMAND:DENIAL,Do not trespass
COMMAND:DENIAL,Do not use fireworks without proper safety measures
COMMAND:DENIAL,Do not use the elevator during a fire
COMMAND:DENIAL,Do not use your cell phone while driving
COMMAND:DENIAL,Do not use your phone while driving
COMMAND:DENIAL,Don't drink and drive
COMMAND:DENIAL,Don't eat that, it's spoiled
COMMAND:DENIAL,Don't leave the stove on
COMMAND:DENIAL,Don't smoke in this area
COMMAND:DENIAL,Don't speak to strangers
COMMAND:DENIAL,Don't touch that
COMMAND:DENIAL,Don't touch that! It's hot
COMMAND:DENIAL,Don't touch that, it's fragile
COMMAND:DENIAL,Don't touch the art
COMMAND:DENIAL,Don't touch the exhibit
COMMAND:DENIAL,Don't touch the exhibits in the museum
COMMAND:DENIAL,Don't touch the fragile objects on the shelf
COMMAND:DENIAL,Don't touch the hot stove
COMMAND:DENIAL,Don't touch the stove, it's hot
COMMAND:DENIAL,Don't use your phone while driving
COMMAND:DENIAL,Don't walk on the grass
COMMAND:DENIAL,It is forbidden to run inside the house
COMMAND:DENIAL,It is not permitted to take pictures in this museum
COMMAND:DENIAL,It is prohibited to litter
COMMAND:DENIAL,It is prohibited to smoke in this building
COMMAND:DENIAL,Smoking is strictly prohibited in this area
COMMAND:DENIAL,Stay away from the edge
COMMAND:DENIAL,Stop running right now
COMMAND:DENIAL,You are not allowed to go outside
COMMAND:DENIAL,You are not allowed to smoke in this area
QUESTION:QUERY,How many people are in the room
QUESTION:QUERY,How much does it cost
QUESTION:QUERY,What are the office hours
QUESTION:QUERY,What can we speak
QUESTION:QUERY,What day is Christmas
QUESTION:QUERY,What did you buy
QUESTION:QUERY,What did you eat
QUESTION:QUERY,What did you have for breakfast
QUESTION:QUERY,What do you like
QUESTION:QUERY,What do you study
QUESTION:QUERY,What does he teach
QUESTION:QUERY,What does huge mean
QUESTION:QUERY,What has been ordered
QUESTION:QUERY,What is Peter doing
QUESTION:QUERY,What is expensive
QUESTION:QUERY,What is he playing
QUESTION:QUERY,What is it
QUESTION:QUERY,What is she
QUESTION:QUERY,What is the airspeed velocity of an unladen swallow
QUESTION:QUERY,What is the average temperature of the human body
QUESTION:QUERY,What is the biggest ocean in the world
QUESTION:QUERY,What is the boiling point of water
QUESTION:QUERY,What is the capital of Argentina
QUESTION:QUERY,What is the capital of Australia
QUESTION:QUERY,What is the capital of Brazil
QUESTION:QUERY,What is the capital of Canada
QUESTION:QUERY,What is the capital of China
QUESTION:QUERY,What is the capital of France
QUESTION:QUERY,What is the capital of India
QUESTION:QUERY,What is the capital of Mexico
QUESTION:QUERY,What is the capital of Russia
QUESTION:QUERY,What is the capital of the United States
QUESTION:QUERY,What is the currency of Japan
QUESTION:QUERY,What is the date today
QUESTION:QUERY,What is the deepest ocean in the world
QUESTION:QUERY,What is the distance between Earth and Mars
QUESTION:QUERY,What is the distance between New York and Los Angeles
QUESTION:QUERY,What is the fastest animal in the world
QUESTION:QUERY,What is the fastest land animal in the world
QUESTION:QUERY,What is the highest mountain in the world
QUESTION:QUERY,What is the highest waterfall in the world
QUESTION:QUERY,What is the largest amphibian in the world
QUESTION:QUERY,What is the largest animal in the world
QUESTION:QUERY,What is the largest bird in the world
QUESTION:QUERY,What is the largest country in the world
QUESTION:QUERY,What is the largest desert in the world
QUESTION:QUERY,What is the largest fish in the world
QUESTION:QUERY,What is the largest mammal in the world
QUESTION:QUERY,What is the largest ocean in the world
QUESTION:QUERY,What is the largest reptile in the world
QUESTION:QUERY,What is the length of the Nile River
QUESTION:QUERY,What is the longest river in the world
QUESTION:QUERY,What is the meaning of life
QUESTION:QUERY,What is the most popular food in the world
QUESTION:QUERY,What is the most spoken language in the world
QUESTION:QUERY,What is the most widely spoken language in the world
QUESTION:QUERY,What is the national animal of Canada
QUESTION:QUERY,What is the population of India
QUESTION:QUERY,What is the population of New York City
QUESTION:QUERY,What is the slowest animal in the world
QUESTION:QUERY,What is the smallest amphibian in the world
QUESTION:QUERY,What is the smallest animal in the world
QUESTION:QUERY,What is the smallest bird in the world
QUESTION:QUERY,What is the smallest country in the world
QUESTION:QUERY,What is the smallest fish in the world
QUESTION:QUERY,What is the smallest mammal in the world
QUESTION:QUERY,What is the smallest planet in the solar system
QUESTION:QUERY,What is the smallest reptile in the world
QUESTION:QUERY,What is the speed of sound
QUESTION:QUERY,What is the tallest animal in the world
QUESTION:QUERY,What is the temperature now
QUESTION:QUERY,What is the temperature outside
QUESTION:QUERY,What is the time
QUESTION:QUERY,What is the time in Tokyo
QUESTION:QUERY,What is the weather like
QUESTION:QUERY,What is your name
QUESTION:QUERY,What kind of dog do you have
QUESTION:QUERY,What kind of music do you like
QUESTION:QUERY,What should we buy
QUESTION:QUERY,What time is it
QUESTION:QUERY,What was she washing
QUESTION:QUERY,What will he buy
QUESTION:QUERY,What's he playing
QUESTION:QUERY,When can she come
QUESTION:QUERY,When can we meet
QUESTION:QUERY,When does the class start
QUESTION:QUERY,When is Christmas
QUESTION:QUERY,When is your birthday
QUESTION:QUERY,Where are you going tomorrow
QUESTION:QUERY,Where did they go
QUESTION:QUERY,Where has he visited
QUESTION:QUERY,Where is Vancouver
QUESTION:QUERY,Where is the nearest restaurant
QUESTION:QUERY,Where is your home district
QUESTION:QUERY,Which newspaper do you read
QUESTION:QUERY,Who are they
QUESTION:QUERY,Who can cook well
QUESTION:QUERY,Who did she call
QUESTION:QUERY,Who does John like
QUESTION:QUERY,Who is coming
QUESTION:QUERY,Who is she
QUESTION:QUERY,Who is sleeping
QUESTION:QUERY,Who is your favourite actor
QUESTION:QUERY,Who knows the answer
QUESTION:QUERY,Who likes Lisa
QUESTION:QUERY,Who said that
QUESTION:QUERY,Who won the 2020 Olympics 100m sprint
QUESTION:QUERY,Who's coming
QUESTION:QUERY,Whose bag is on the table
QUESTION:QUERY,Whose bag's on the table
QUESTION:QUERY,Whose car is that
QUESTION:QUERY,Whose website is this
QUESTION:QUERY,Why did she call you
QUESTION:QUERY,Why is she crying
QUESTION:QUERY,Why was she crying
QUESTION:QUERY,how fast can an elephant run
QUESTION:QUERY,how long ago was sunrise
QUESTION:QUERY,how long until world war 3
QUESTION:QUERY,how much is bitcoin worth
QUESTION:QUERY,what do dogs and cats have in common
QUESTION:QUERY,what is a living being
QUESTION:QUERY,what is the speed of light
QUESTION:QUERY,what time does the class start/When does the class start
QUESTION:QUERY,when is your birthday
QUESTION:QUERY,when were you born
QUESTION:QUERY,when will the world end
QUESTION:QUERY,where do you store your data
QUESTION:QUERY,which city has more people
QUESTION:QUERY,who made you
QUESTION:QUERY,whose dog is this
QUESTION:QUERY,why are fire trucks red
QUESTION:REQUEST,Can I have a glass of water, please
QUESTION:REQUEST,Can you give me a glass of water
QUESTION:REQUEST,Can you hand me a pen, please
QUESTION:REQUEST,Can you help me find my lost keys
QUESTION:REQUEST,Can you help me move this table
QUESTION:REQUEST,Can you lend me a hand with this heavy box
QUESTION:REQUEST,Can you lend me your phone
QUESTION:REQUEST,Can you please call me a taxi
QUESTION:REQUEST,Can you please explain this concept to me again
QUESTION:REQUEST,Can you please give me a ride to the train station
QUESTION:REQUEST,Can you please help me carry these boxes
QUESTION:REQUEST,Can you please lend me a hand
QUESTION:REQUEST,Can you please lend me some money until payday
QUESTION:REQUEST,Can you please lend me your book
QUESTION:REQUEST,Can you please lend me your pen
QUESTION:REQUEST,Can you please make me a cup of tea
QUESTION:REQUEST,Can you please pass me the menu
QUESTION:REQUEST,Can you please pass me the remote
QUESTION:REQUEST,Can you please pass me the salt
QUESTION:REQUEST,Can you please pass me the salt and pepper
QUESTION:REQUEST,Can you please send me that file
QUESTION:REQUEST,Can you please send me the document
QUESTION:REQUEST,Can you please send me the document via email
QUESTION:REQUEST,Can you please show me how to use this software
QUESTION:REQUEST,Can you recommend a good book to read
QUESTION:REQUEST,Can you recommend a good place to buy shoes
QUESTION:REQUEST,Can you recommend a good place to get a haircut
QUESTION:REQUEST,Can you tell me how to get to the nearest hospital
QUESTION:REQUEST,Can you tell me where the nearest gas station is
QUESTION:REQUEST,Could I have that now, please
QUESTION:REQUEST,Could I have that now, thank you
QUESTION:REQUEST,Could you pass me the salt please
QUESTION:REQUEST,Could you please make me a cup of coffee
QUESTION:REQUEST,Could you please pass me the remote
QUESTION:REQUEST,Could you please show me how to use this software
QUESTION:REQUEST,May I borrow your umbrella
QUESTION:REQUEST,May I have a glass of water
QUESTION:REQUEST,Would it be possible to borrow your car
QUESTION:REQUEST,Would it be possible to borrow your umbrella
QUESTION:REQUEST,Would it be possible to get a glass of water
QUESTION:REQUEST,Would it be possible to schedule a meeting for next week
QUESTION:REQUEST,Would you be able to give me a ride to the airport
QUESTION:REQUEST,Would you be able to lend me a hand with this
QUESTION:REQUEST,Would you be able to lend me a hand with this project
QUESTION:REQUEST,Would you be able to pick up some milk from the store
QUESTION:REQUEST,Would you be able to proofread my essay
QUESTION:REQUEST,Would you be so kind as to lend me your pen
QUESTION:REQUEST,Would you feed the dog, please
QUESTION:REQUEST,Would you mind giving me a ride to the airport
QUESTION:REQUEST,Would you mind giving me a ride to the train station
QUESTION:REQUEST,Would you mind helping me with this task
QUESTION:REQUEST,Would you mind holding the door for me
QUESTION:REQUEST,Would you mind letting me borrow your phone charger
QUESTION:REQUEST,Would you mind passing me a napkin
QUESTION:REQUEST,Would you mind passing me a tissue
QUESTION:REQUEST,Would you mind passing me the salt
QUESTION:REQUEST,Would you mind passing me the salt, please
QUESTION:REQUEST,Would you mind sharing your notes with me
QUESTION:REQUEST,Would you mind shutting the door
QUESTION:YESNO,Am I going to die
QUESTION:YESNO,Am I sick
QUESTION:YESNO,Are Spanish and German different languages
QUESTION:YESNO,Are airplanes flown inside
QUESTION:YESNO,Are all dogs friendly
QUESTION:YESNO,Are ants strong
QUESTION:YESNO,Are apples red fruit
QUESTION:YESNO,Are aspirin and tylenol pain relievers
QUESTION:YESNO,Are bananas and oranges sweet vegetables
QUESTION:YESNO,Are bananas yellow
QUESTION:YESNO,Are band-aids used for healing
QUESTION:YESNO,Are butterflies attracted to bright colors
QUESTION:YESNO,Are cars made here
QUESTION:YESNO,Are cars used to drive on the water
QUESTION:YESNO,Are cats able to climb trees
QUESTION:YESNO,Are chips and pretzels salty
QUESTION:YESNO,Are clocks and bikes used to tell time
QUESTION:YESNO,Are coffee and hot chocolate cold drinks
QUESTION:YESNO,Are computers used to brush your teeth with
QUESTION:YESNO,Are cows and horses mammals
QUESTION:YESNO,Are cucumbers a type of fruit
QUESTION:YESNO,Are diamonds a type of gemstone
QUESTION:YESNO,Are dogs and cats animals that live in the jungle
QUESTION:YESNO,Are dogs carnivorous animals
QUESTION:YESNO,Are dogs mammals
QUESTION:YESNO,Are dolphins friendly
QUESTION:YESNO,Are dolphins mammals
QUESTION:YESNO,Are eggs a good source of protein
QUESTION:YESNO,Are elephants able to climb trees
QUESTION:YESNO,Are fish able to fly
QUESTION:YESNO,Are flies and robins small insects
QUESTION:YESNO,Are football and baseball types of food
QUESTION:YESNO,Are fruits and vegetables healthy to eat
QUESTION:YESNO,Are giraffes tall
QUESTION:YESNO,Are grapes used to make wine
QUESTION:YESNO,Are houses more than $50 dollars
QUESTION:YESNO,Are kangaroos able to jump high
QUESTION:YESNO,Are kangaroos native to Australia
QUESTION:YESNO,Are kiwis a type of fruit
QUESTION:YESNO,Are lasagna and spaghetti Chinese dishes
QUESTION:YESNO,Are lemons sour
QUESTION:YESNO,Are lions afraid of water
QUESTION:YESNO,Are lizards small
QUESTION:YESNO,Are muscles needed to move our body
QUESTION:YESNO,Are musicians and artists creative
QUESTION:YESNO,Are oranges a good source of vitamin C
QUESTION:YESNO,Are ovens used to freeze things
QUESTION:YESNO,Are owls able to see in the dark
QUESTION:YESNO,Are paint and syrup used to take a bath in
QUESTION:YESNO,Are pandas friendly
QUESTION:YESNO,Are peanuts made into jam
QUESTION:YESNO,Are pencils and markers used to write on a whiteboard
QUESTION:YESNO,Are penguins able to fly
